Model,Prompt,Image,Score
stability_ai,prompt_2,WechatIMG75.jpg,5.1802778244018555
stability_ai,prompt_2,WechatIMG74.jpg,5.801181316375732
stability_ai,prompt_2,WechatIMG73.jpg,4.739619255065918
stability_ai,prompt_2,WechatIMG72.jpg,5.946358680725098
stability_ai,prompt_3,WechatIMG79.jpg,4.149481773376465
stability_ai,prompt_3,WechatIMG78.jpg,4.667232513427734
stability_ai,prompt_3,WechatIMG76.jpg,4.760846138000488
stability_ai,prompt_3,WechatIMG77.jpg,4.729242324829102
stability_ai,prompt_4,WechatIMG83.jpg,5.202701091766357
stability_ai,prompt_4,WechatIMG82.jpg,5.095112323760986
stability_ai,prompt_4,WechatIMG80.jpg,3.728822708129883
stability_ai,prompt_4,WechatIMG81.jpg,5.296236515045166
stability_ai,prompt_1,WechatIMG68.jpg,4.5465216636657715
stability_ai,prompt_1,WechatIMG69.jpg,4.658560752868652
stability_ai,prompt_1,WechatIMG70.jpg,6.252531051635742
stability_ai,prompt_1,WechatIMG71.jpg,4.401124954223633
Baidu,prompt_2,ee9f9ab3a671491ab5007a2d67f975c5_13387689859.png,4.888319492340088
Baidu,prompt_2,202a8c7a1558491aa6c00aedcca8bef0_13387800785.png,4.9819183349609375
Baidu,prompt_2,d1b0d45aac8742a7b27b1b8fb0fdf3dd_13387709660.png,4.589784622192383
Baidu,prompt_2,5e49bdebd38043bab784d89def9439c5_13387773810.png,5.1292524337768555
Baidu,prompt_3,760a11f8e6904bffad928104a5f37e8f_13387734052.png,6.046286582946777
Baidu,prompt_3,21afa452299c4df7a258a4889487ae09_13387694077.png,5.632582664489746
Baidu,prompt_3,7da08a82768b464c8c036434fa48d64a_13387814384.png,6.082796096801758
Baidu,prompt_3,2b89d726868a494eb397c971e94a017d_13387700802.png,5.408379554748535
Baidu,prompt_4,18079c9a52b1436fb4470e9f49e33fe1_13387906524.png,6.5895891189575195
Baidu,prompt_4,1b5ee9b8aa6d4dac8f21f37176757a19_13387728083.png,6.754883289337158
Baidu,prompt_4,d60bef52b4394a2983cdd31ccf782c27_13387922923.png,5.756207466125488
Baidu,prompt_4,8017c8f017ca4c7b920437475cffbe6e_13387889032.png,5.678274154663086
Baidu,prompt_1,ceda3d32c643463facd473e328f4cb53_13387665148.png,4.1478424072265625
Baidu,prompt_1,fb343de771a242349bd72ed5adc3f183_13387733859.png,4.894765377044678
Baidu,prompt_1,50827a2f2e314a49b0b9a885a6428a29_13387674879.png,5.716880798339844
Baidu,prompt_1,e14d766a0aab4c63a931ea7a5f8317a0_13387683687.png,5.660004138946533
flux,prompt_2,af6600bf-51e4-49d6-b0cd-e0986fc72241_10132779.jpg,5.331396579742432
flux,prompt_2,3d2b1e66-0af1-4f19-8bee-b10c2a0e2b73_10333817.jpg,4.837099075317383
flux,prompt_2,0074762b-66bf-4506-89d3-7bbeb4d79637_10050447.jpg,4.753792762756348
flux,prompt_2,5b96cd1c-9e1e-4313-9bb2-fce09acbe84e_10314134.jpg,5.781140327453613
flux,prompt_3,8d5c7dc7-0007-44d6-9352-5378a8f3826e_10440245.jpg,4.564902305603027
flux,prompt_3,c6aff716-96ca-45d9-8da1-e7d14e88902b_1041468.jpg,5.043233871459961
flux,prompt_3,413a423c-9822-47a8-9552-5558e239b7e0_10621811.jpg,4.914455890655518
flux,prompt_3,153df351-42a4-4dfb-bfff-37b00f0eb1dd_10547178.jpg,4.709505081176758
flux,prompt_4,84a1c42c-19c8-4b0d-9d30-e101168267cc_10949725.jpg,5.037178993225098
flux,prompt_4,83c3278d-1c48-4ab0-a7b6-b5911b1781dd_10758420.jpg,5.502607345581055
flux,prompt_4,f708ba41-e893-4cef-8d3c-f2b6cfce1f0b_10106337.jpg,4.751021385192871
flux,prompt_4,b0d8cdaf-02d9-45dd-8766-a3659e08704e_10710215.jpg,4.50563907623291
flux,prompt_1,13c4da19-72d8-44c6-aa90-76a469ffb7cf_95943928.jpg,4.349792003631592
flux,prompt_1,8bba7607-893b-4b00-88d9-67ba1cd81c1e_9582385.jpg,4.950366020202637
flux,prompt_1,daf20764-cfb5-41de-8d1d-e6ca2086c36a_1001814.jpg,5.2822465896606445
flux,prompt_1,18d52944-cca5-44b6-8ee2-eb985a65bac0_100234.jpg,4.636441230773926
google,prompt_2,WechatIMG57.jpg,5.07412052154541
google,prompt_2,WechatIMG56.jpg,4.403514385223389
google,prompt_2,WechatIMG58.jpg,4.852597236633301
google,prompt_2,WechatIMG59.jpg,5.13593864440918
google,prompt_3,WechatIMG61.jpg,4.3292059898376465
google,prompt_3,WechatIMG60.jpg,4.450723648071289
google,prompt_3,WechatIMG62.jpg,4.764782905578613
google,prompt_3,WechatIMG63.jpg,4.424108982086182
google,prompt_4,WechatIMG67.jpg,4.7920427322387695
google,prompt_4,WechatIMG66.jpg,4.394046306610107
google,prompt_4,WechatIMG64.jpg,4.922952175140381
google,prompt_4,WechatIMG65.jpg,5.1092023849487305
google,prompt_1,WechatIMG54.jpg,4.919173240661621
google,prompt_1,WechatIMG55.jpg,4.754616737365723
google,prompt_1,WechatIMG52.jpg,4.420975685119629
google,prompt_1,WechatIMG53.jpg,4.530025482177734
microsoft,prompt_2,WechatIMG10.jpg,5.541040420532227
microsoft,prompt_2,WechatIMG11.jpg,5.304294586181641
microsoft,prompt_2,WechatIMG9.jpg,5.617652416229248
microsoft,prompt_2,WechatIMG8.jpg,5.527581214904785
microsoft,prompt_3,WechatIMG15.jpg,6.394124984741211
microsoft,prompt_3,WechatIMG14.jpg,6.479729652404785
microsoft,prompt_3,WechatIMG13.jpg,6.1482954025268555
microsoft,prompt_3,WechatIMG12.jpg,6.096836090087891
microsoft,prompt_4,WechatIMG19.jpg,5.455722332000732
microsoft,prompt_4,WechatIMG18.jpg,5.531095027923584
microsoft,prompt_4,WechatIMG16.jpg,6.04976749420166
microsoft,prompt_4,WechatIMG17.jpg,5.961394309997559
microsoft,prompt_1,WechatIMG6.jpg,6.962712287902832
microsoft,prompt_1,WechatIMG7.jpg,6.66817569732666
microsoft,prompt_1,WechatIMG5.jpg,6.521201133728027
microsoft,prompt_1,WechatIMG4.jpg,5.373811721801758
tiangong,prompt_2,XBNIZVB4.png,5.286463260650635
tiangong,prompt_2,BQFS5F3T.png,5.327609062194824
tiangong,prompt_2,E29BM963.png,5.322722911834717
tiangong,prompt_2,GYOK4DPS.png,4.932435035705566
tiangong,prompt_3,WVCVCIQT.png,5.234055519104004
tiangong,prompt_3,ZPKT15A5.png,6.362040996551514
tiangong,prompt_3,SAV4HQ3T.png,5.608604431152344
tiangong,prompt_3,EE68TLHW.png,5.565676212310791
tiangong,prompt_4,BCT6PAM5.png,5.0299577713012695
tiangong,prompt_4,M7GO2ONK.png,5.799675464630127
tiangong,prompt_4,OA7L9G3V.png,6.079884052276611
tiangong,prompt_4,MESBX26P.png,5.607879161834717
tiangong,prompt_1,D8HL22QY.png,6.243453025817871
tiangong,prompt_1,3YJL4TB2.png,4.84872579574585
tiangong,prompt_1,9CXRW5VX.png,5.806070327758789
tiangong,prompt_1,KOWV87MT.png,5.924892902374268
doubao,prompt_2,制作上海纽约大学海报 (1).png,5.029289245605469
doubao,prompt_2,制作上海纽约大学海报.png,4.837580680847168
doubao,prompt_2,制作上海纽约大学海报 (4).png,4.344454765319824
doubao,prompt_2,制作上海纽约大学海报 (2).png,5.068079948425293
doubao,prompt_3,制作上海纽约大学海报 (1).png,4.349642753601074
doubao,prompt_3,制作上海纽约大学海报.png,4.3783440589904785
doubao,prompt_3,制作上海纽约大学海报 (2).png,4.375833511352539
doubao,prompt_3,制作上海纽约大学海报 (3).png,4.405497074127197
doubao,prompt_4,制作上海纽约大学海报 (1).png,4.4494781494140625
doubao,prompt_4,制作上海纽约大学海报.png,4.7472310066223145
doubao,prompt_4,制作上海纽约大学海报 (4).png,4.530609130859375
doubao,prompt_4,制作上海纽约大学海报 (2).png,4.287331581115723
doubao,prompt_1,制作上海纽约大学海报 (1).png,5.7037153244018555
doubao,prompt_1,制作上海纽约大学海报.png,5.945516109466553
doubao,prompt_1,制作上海纽约大学海报 (2).png,5.597352981567383
doubao,prompt_1,制作上海纽约大学海报 (3).png,5.53384256362915
meta,prompt_2,WechatIMG6.jpg,5.799604415893555
meta,prompt_2,WechatIMG7.jpg,5.768263816833496
meta,prompt_2,WechatIMG5.jpg,5.000828742980957
meta,prompt_2,WechatIMG8.jpg,5.5994133949279785
meta,prompt_3,WechatIMG10.jpg,4.574995040893555
meta,prompt_3,WechatIMG11.jpg,5.0689520835876465
meta,prompt_3,WechatIMG12.jpg,5.810881614685059
meta,prompt_3,WechatIMG9.jpg,5.483088493347168
meta,prompt_4,WechatIMG16.jpg,5.9316205978393555
meta,prompt_4,WechatIMG15.jpg,5.6530866622924805
meta,prompt_4,WechatIMG14.jpg,6.118013381958008
meta,prompt_4,WechatIMG13.jpg,6.361112594604492
meta,prompt_1,WechatIMG4.jpg,4.859348297119141
meta,prompt_1,WechatIMG1.jpg,6.060500144958496
meta,prompt_1,WechatIMG3.jpg,5.309671401977539
meta,prompt_1,WechatIMG2.jpg,5.635958194732666
midjourney,prompt_2,WechatIMG91.jpg,5.297445297241211
midjourney,prompt_2,WechatIMG90.jpg,5.784621238708496
midjourney,prompt_2,WechatIMG92.jpg,5.625066757202148
midjourney,prompt_2,WechatIMG89.jpg,5.920208930969238
midjourney,prompt_3,WechatIMG96.jpg,5.921953201293945
midjourney,prompt_3,WechatIMG94.jpg,5.5447845458984375
midjourney,prompt_3,WechatIMG95.jpg,4.706961631774902
midjourney,prompt_3,WechatIMG93.jpg,5.160280704498291
midjourney,prompt_4,WechatIMG97.jpg,5.92606258392334
midjourney,prompt_4,WechatIMG100.jpg,4.6024065017700195
midjourney,prompt_4,WechatIMG98.jpg,5.462278366088867
midjourney,prompt_4,WechatIMG99.jpg,4.809296607971191
midjourney,prompt_1,WechatIMG85.jpg,5.883246421813965
midjourney,prompt_1,WechatIMG86.jpg,5.690492153167725
midjourney,prompt_1,WechatIMG87.jpg,5.874156951904297
midjourney,prompt_1,WechatIMG88.jpg,6.372699737548828
akool,prompt_2,WechatIMG40.jpg,5.327695369720459
akool,prompt_2,WechatIMG41.jpg,5.577932357788086
akool,prompt_2,WechatIMG43.jpg,5.634546279907227
akool,prompt_2,WechatIMG42.jpg,5.578503608703613
akool,prompt_3,WechatIMG46.jpg,6.215313911437988
akool,prompt_3,WechatIMG47.jpg,6.114523410797119
akool,prompt_3,WechatIMG45.jpg,5.310873985290527
akool,prompt_3,WechatIMG44.jpg,6.125349998474121
akool,prompt_4,WechatIMG51.jpg,5.139822959899902
akool,prompt_4,WechatIMG50.jpg,5.180237770080566
akool,prompt_4,WechatIMG49.jpg,5.116162300109863
akool,prompt_4,WechatIMG48.jpg,4.611876487731934
akool,prompt_1,WechatIMG37.jpg,3.986964702606201
akool,prompt_1,WechatIMG36.jpg,4.870510101318359
akool,prompt_1,WechatIMG38.jpg,5.044526100158691
akool,prompt_1,WechatIMG39.jpg,4.8694891929626465
tongyi,prompt_2,16a08a5405f74f2a884e9cae9be69eb7_2.png,4.703601360321045
tongyi,prompt_2,16a08a5405f74f2a884e9cae9be69eb7_3.png,4.563302516937256
tongyi,prompt_2,16a08a5405f74f2a884e9cae9be69eb7_1.png,4.287816047668457
tongyi,prompt_2,16a08a5405f74f2a884e9cae9be69eb7_0.png,4.895792484283447
tongyi,prompt_3,4a350008eaeb4c3eb35c7e8d5e4e8707_3 (1).png,3.9222168922424316
tongyi,prompt_3,4a350008eaeb4c3eb35c7e8d5e4e8707_1.png,4.684447288513184
tongyi,prompt_3,4a350008eaeb4c3eb35c7e8d5e4e8707_2.png,5.385891914367676
tongyi,prompt_3,4a350008eaeb4c3eb35c7e8d5e4e8707_3.png,3.9222168922424316
tongyi,prompt_4,261a6f817e264d1ea52e42e68cb0f914_2.png,4.1684980392456055
tongyi,prompt_4,261a6f817e264d1ea52e42e68cb0f914_3.png,3.9496757984161377
tongyi,prompt_4,261a6f817e264d1ea52e42e68cb0f914_1.png,4.876377105712891
tongyi,prompt_4,261a6f817e264d1ea52e42e68cb0f914_0.png,5.004894256591797
tongyi,prompt_1,a15a330579e046229d92f7a9da43d64e_0.png,5.089887619018555
tongyi,prompt_1,a15a330579e046229d92f7a9da43d64e_1.png,4.040036201477051
tongyi,prompt_1,a15a330579e046229d92f7a9da43d64e_3.png,3.9996249675750732
tongyi,prompt_1,a15a330579e046229d92f7a9da43d64e_2.png,4.223559379577637
openai,prompt_2,WechatIMG25.jpg,5.021356582641602
openai,prompt_2,WechatIMG24.jpg,5.775595664978027
openai,prompt_2,WechatIMG26.jpg,5.0832200050354
openai,prompt_2,WechatIMG27.jpg,5.534987449645996
openai,prompt_3,WechatIMG31.jpg,5.275809288024902
openai,prompt_3,WechatIMG30.jpg,6.1384711265563965
openai,prompt_3,WechatIMG29.jpg,5.083562850952148
openai,prompt_3,WechatIMG28.jpg,4.911128997802734
openai,prompt_4,WechatIMG34.jpg,4.854593276977539
openai,prompt_4,WechatIMG35.jpg,4.951921463012695
openai,prompt_4,WechatIMG32.jpg,5.047372341156006
openai,prompt_4,WechatIMG33.jpg,5.375932216644287
openai,prompt_1,WechatIMG23.jpg,4.6354217529296875
openai,prompt_1,WechatIMG22.jpg,4.048107147216797
openai,prompt_1,WechatIMG20.jpg,4.251620292663574
openai,prompt_1,WechatIMG21.jpg,5.1178741455078125
